Year,Month,WDCGG N2O (ppb),WDCGG N2O uncertainty
2002,11,317.30,
2002,12,317.40,
2003,1,317.50,
2003,2,317.50,
2003,3,317.60,
2003,4,317.60,
2003,5,317.60,
2003,6,317.60,
2003,7,317.70,
2003,8,317.70,
2003,9,317.90,
2003,10,318.00,
2003,11,318.10,
2003,12,318.20,
2004,1,318.30,
2004,2,318.30,
2004,3,318.30,
2004,4,318.30,
2004,5,318.30,
2004,6,318.30,
2004,7,318.30,
2004,8,318.30,
2004,9,318.40,
2004,10,318.60,
2004,11,318.70,
2004,12,318.90,
2005,1,319.00,
2005,2,319.00,
2005,3,319.00,
2005,4,319.00,
2005,5,318.90,
2005,6,318.90,
2005,7,319.00,
2005,8,319.10,
2005,9,319.20,
2005,10,319.40,
2005,11,319.50,
2005,12,319.80,
2006,1,319.80,
2006,2,319.90,
2006,3,319.90,
2006,4,319.90,
2006,5,319.90,
2006,6,319.80,
2006,7,319.90,
2006,8,319.90,
2006,9,320.10,
2006,10,320.20,
2006,11,320.30,
2006,12,320.40,
2007,1,320.50,
2007,2,320.60,
2007,3,320.50,
2007,4,320.50,
2007,5,320.50,
2007,6,320.50,
2007,7,320.40,
2007,8,320.60,
2007,9,320.80,
2007,10,321.00,
2007,11,321.20,
2007,12,321.30,
2008,1,321.50,
2008,2,321.50,
2008,3,321.50,
2008,4,321.50,
2008,5,321.50,
2008,6,321.60,
2008,7,321.60,
2008,8,321.60,
2008,9,321.70,
2008,10,321.80,
2008,11,322.00,
2008,12,322.10,
2009,1,322.30,
2009,2,322.40,
2009,3,322.40,
2009,4,322.30,
2009,5,322.20,
2009,6,322.20,
2009,7,322.20,
2009,8,322.40,
2009,9,322.50,
2009,10,322.70,
2009,11,322.80,
2009,12,323.00,
2010,1,323.10,
2010,2,323.10,
2010,3,323.10,
2010,4,323.20,
2010,5,323.20,
2010,6,323.20,
2010,7,323.20,
2010,8,323.30,
2010,9,323.40,
2010,10,323.60,
2010,11,323.90,
2010,12,324.00,
2011,1,324.10,
2011,2,324.20,
2011,3,324.20,
2011,4,324.20,
2011,5,324.20,
2011,6,324.20,
2011,7,324.20,
2011,8,324.30,
2011,9,324.40,
2011,10,324.60,
2011,11,324.80,
2011,12,324.90,
2012,1,325.00,
2012,2,325.10,
2012,3,325.10,
2012,4,325.10,
2012,5,325.10,
2012,6,325.10,
2012,7,325.10,
2012,8,325.20,
2012,9,325.30,
2012,10,325.50,
2012,11,325.70,
2012,12,325.80,
2013,1,325.90,
2013,2,325.90,
2013,3,326.00,
2013,4,326.00,
2013,5,326.00,
2013,6,326.10,
2013,7,326.10,
2013,8,326.20,
2013,9,326.30,
2013,10,326.40,
2013,11,326.60,
2013,12,326.80,
2014,1,326.90,
2014,2,326.90,
2014,3,327.00,
2014,4,327.00,
2014,5,327.00,
2014,6,327.10,
2014,7,327.20,
2014,8,327.30,
2014,9,327.50,
2014,10,327.70,
2014,11,327.80,
2014,12,328.00,
2015,1,328.10,
2015,2,328.10,
2015,3,328.10,
2015,4,328.10,
2015,5,328.10,
2015,6,328.10,
2015,7,328.20,
2015,8,328.30,
2015,9,328.40,
2015,10,328.60,
2015,11,328.70,
2015,12,328.90,
2016,1,329.00,
2016,2,329.00,
2016,3,329.00,
2016,4,329.00,
2016,5,329.00,
2016,6,328.90,
2016,7,328.90,
2016,8,328.90,
2016,9,329.10,
2016,10,329.20,
2016,11,329.40,
2016,12,329.50,
2017,1,329.60,
2017,2,329.70,
2017,3,329.70,
2017,4,329.70,
2017,5,329.70,
2017,6,329.70,
2017,7,329.80,
2017,8,329.90,
2017,9,330.10,
2017,10,330.20,
2017,11,330.40,
2017,12,330.60,
2018,1,330.70,
2018,2,330.80,
2018,3,330.90,
2018,4,330.90,
2018,5,330.90,
2018,6,330.90,
2018,7,330.90,
2018,8,331.00,
2018,9,331.20,
2018,10,331.40,
2018,11,331.60,
2018,12,331.80,
2019,1,331.90,
2019,2,331.90,
2019,3,331.90,
2019,4,331.80,
2019,5,331.80,
2019,6,331.80,
2019,7,331.90,
2019,8,332.00,
2019,9,332.10,
2019,10,332.30,
2019,11,332.40,
2019,12,332.60,
2020,1,332.70,
2020,2,332.80,
2020,3,332.90,
2020,4,332.90,
2020,5,332.90,
2020,6,333.00,
2020,7,333.10,
2020,8,333.20,
2020,9,333.40,
2020,10,333.60,
2020,11,333.80,
2020,12,333.90,
2021,1,334.10,
2021,2,334.20,
2021,3,334.20,
2021,4,334.20,
2021,5,334.20,
2021,6,334.30,
2021,7,334.40,
2021,8,334.50,
2021,9,334.70,
2021,10,334.90,
2021,11,335.10,
2021,12,335.30,
