Year,All forcings,Human,Natural,Anthropogenic tropospheric aerosol,Greenhouse gases,Land use,Orbital changes,Ozone,Solar,Volcanic
1872,287.50633502865800,287.43745868995500,287.51708648321500,287.41998725500500,287.4492450053030,287.50659775413900,287.49958344691100,287.41335336142800,287.42410532407800,287.48843306761900
1873,287.57058617004400,287.42384165582600,287.48687741238500,287.42649658705600,287.41325605118100,287.47610725637500,287.44127954591400,287.41250927875800,287.41290186777100,287.50305266462500
1874,287.54527513885100,287.45527637203100,287.54362255035400,287.44885034100100,287.48523014496900,287.44663344194900,287.42571738233800,287.46993329366400,287.43817900013500,287.44986198627900
1875,287.54733167572900,287.48070945222300,287.47959133478000,287.39389735607900,287.4902976614370,287.43041682883500,287.4622880538230,287.47479874484900,287.43667608657900,287.50166182227000
1876,287.52470467570600,287.47293229907800,287.4459979495840,287.41096597440000,287.44166123400300,287.42416945398400,287.45578724291700,287.39095557348300,287.40815788487700,287.49626768932400
1877,287.49190727265300,287.50755317083600,287.45870838716700,287.44985297325600,287.44154426166900,287.45753527753400,287.43771390312000,287.43184437575000,287.3994835019130,287.50542791296400
1878,287.51822440466800,287.48567718983900,287.46206351164200,287.44695044809200,287.4572961249520,287.43996909871400,287.43367786049600,287.40150677310200,287.3630557570060,287.4541312222760
1879,287.49319969218700,287.51413705481900,287.49568138141300,287.40911844981400,287.45955047698100,287.45680253022400,287.44342398554800,287.43062610672300,287.40348300583600,287.40524953254300
1880,287.50310744057600,287.50015915656700,287.46220980308400,287.36279980343500,287.50598302742300,287.45747220558300,287.43330690264200,287.40038732205600,287.39920153735400,287.44078439571900
1881,287.55357713374900,287.54750277788200,287.50203354944600,287.42748531663700,287.49232429400400,287.40455634739800,287.40717753932200,287.39570395538500,287.41718232726800,287.47085489482600
1882,287.5295911332810,287.46284359143700,287.49275010361000,287.42037810556500,287.4528977164570,287.43807676327000,287.42488354367700,287.38647327753500,287.44787049146000,287.46801672267100
1883,287.47406213400700,287.49343253027700,287.38568413628700,287.44903225538500,287.50019146482800,287.45760529114900,287.42344072492000,287.39902871140200,287.43534205734300,287.40265546027900
1884,287.14724076947300,287.56272854643600,287.0774307667890,287.37311988749100,287.48797528435000,287.44026962214800,287.44411643592200,287.39599112130900,287.47424598542900,287.07038674443700
1885,287.18863288136300,287.56248714735000,287.11154522514700,287.38495816694500,287.47540094567300,287.48925031592100,287.41766930907200,287.41319107152500,287.53212245693900,287.06980612184800
1886,287.24772040244000,287.59488984071900,287.20962595354500,287.42125485221900,287.50579883232700,287.47810514417600,287.40093198222800,287.40533041489400,287.49149711625500,287.1948543071640
1887,287.30765753949200,287.58420677602400,287.21630331836900,287.38584805203600,287.54754235744200,287.47996301181600,287.4458774699100,287.39310916713900,287.4492425936170,287.29096085373400
1888,287.37276382876900,287.52858729189300,287.24254830074100,287.35039823607100,287.51153406330900,287.47682340355500,287.45162604760400,287.42225354894200,287.44102482536000,287.33321177567800
1889,287.38972576847800,287.52862295961300,287.26765275363200,287.37517873807600,287.46700578605500,287.47575015702300,287.39165357970800,287.42315015198200,287.44929500668100,287.34223113694100
1890,287.39520042104300,287.57824672874500,287.24339915286100,287.42319519728400,287.45144862795400,287.4211399397350,287.41420174976600,287.39578261754600,287.42380282915100,287.37374668739900
1891,287.34410882023000,287.54729248573100,287.268786252491,287.42881183160600,287.49966937487,287.42961489428600,287.45952515903900,287.403372121188,287.43823803819800,287.32521841527000
1892,287.34286346124800,287.55037670934800,287.30186504666000,287.38151383039900,287.52405293748600,287.44595619068900,287.42137477215200,287.42047154004400,287.44189825391900,287.33054176142300
1893,287.48833163542300,287.56966688956200,287.30090060731000,287.43781572506000,287.49982748749200,287.4635994084290,287.46007748368200,287.42961767128300,287.44964931405000,287.3806485554730
1894,287.54643050029100,287.55963632418300,287.38309910450100,287.41666327488300,287.53551889210500,287.43029340338100,287.44708269356100,287.4609353152540,287.47367786403600,287.41107371176800
1895,287.57772161987200,287.504674443601,287.38000274012100,287.39498644660200,287.55209529272500,287.43708614643700,287.45809113621100,287.44013539213300,287.48982344337700,287.47972394846800
1896,287.52404774568100,287.51484422717100,287.4053391993080,287.40847053623700,287.53870629406200,287.43051686118500,287.46473016951100,287.42629050837500,287.46654058479600,287.46894127307600
1897,287.51166099509600,287.45817330815400,287.4054792373600,287.40909427526800,287.5193399147910,287.41715876875300,287.44606903625000,287.41546510390400,287.45131523215500,287.47618093255700
1898,287.54944236456800,287.4952422465950,287.39071292182800,287.39449743629800,287.49482724746300,287.38142916940900,287.46570026691800,287.43814350510800,287.44645305813300,287.47845803112600
1899,287.55484066528900,287.52304300000200,287.37738725075300,287.4410636083170,287.53733763765100,287.38843514929400,287.49646935083500,287.40848187123800,287.47330292667900,287.43616106780700
1900,287.55305882300400,287.53910273914200,287.41459229320300,287.41589926974900,287.53664547837100,287.42330687467700,287.43969922891500,287.39654726175600,287.42833503733800,287.52968845978
1901,287.5902551992540,287.53323760610600,287.44703898647700,287.39462699527400,287.50662875837900,287.39406878381500,287.49741726859900,287.40848746696100,287.43962712706100,287.4955350335880
1902,287.55052912547300,287.53476140568700,287.45763570873700,287.41725424635600,287.59445335406900,287.41679188764400,287.49363508011100,287.43376916419100,287.44579170127500,287.45088351772800
1903,287.36733628725900,287.55968970430300,287.24077271053500,287.43461102857800,287.51996675130900,287.44007229356200,287.49567931341200,287.43943142693500,287.43873219388100,287.27216086481400
1904,287.39718527129100,287.51880745292000,287.3059001061550,287.39627561235200,287.57018874142800,287.43034892736100,287.44473512093900,287.45100122115700,287.43329237002500,287.32804422859000
1905,287.44467168990300,287.49860204343100,287.3786021798260,287.42310334770100,287.60981517597600,287.44403336794700,287.49623641170300,287.46183115656000,287.44095166594100,287.3900694159520
1906,287.55033818606700,287.46612249138500,287.35243479251400,287.41279552355300,287.56364212185100,287.46489534028800,287.44465740236400,287.46404535476200,287.390017427808,287.42201554419000
1907,287.53399689844900,287.55014273397300,287.40188588686000,287.39237730983900,287.60354368898200,287.48804210647700,287.45878683880600,287.47165449073900,287.41981669767600,287.40704522908900
1908,287.5377356441260,287.54689791511800,287.38329577810800,287.38775157384100,287.55343418110000,287.47198453512900,287.44659463644300,287.46575809054000,287.42942354768400,287.41167802625200
1909,287.58506773793300,287.57801847434900,287.41495619980400,287.42146886687100,287.53694545148500,287.47256757932300,287.43925234371700,287.45943176494100,287.43416406912300,287.47868542312500
1910,287.5710537920870,287.54751630708000,287.45818677355800,287.42068528415900,287.56507854838900,287.45100284340400,287.46503032533000,287.42848553866800,287.45982193237300,287.46088610666700
1911,287.62654908740000,287.58453290817300,287.52113528676100,287.42915129113500,287.57168909863400,287.41014441751800,287.45724901609700,287.45055259325900,287.4564672384640,287.49408661596000
1912,287.5489375725700,287.51860578704600,287.41105146838500,287.43646586752800,287.59757131473500,287.43904699969000,287.41350101970800,287.46450904075000,287.41169718326900,287.50269722008500
1913,287.46066398516600,287.53466917088400,287.34228965430500,287.42579535217400,287.641370023712,287.4472047932180,287.46103937210200,287.44587452570200,287.4148092487700,287.41005753559500
1914,287.51335740241800,287.57550259450600,287.43351082654700,287.43855810842200,287.58718494127100,287.46469717471700,287.44253115219800,287.43832873282900,287.4313515265360,287.42101024994300
1915,287.55627736819000,287.54900502651100,287.48833281554400,287.44405393228900,287.60588066543600,287.42873526579400,287.43206380657600,287.46254108212400,287.4302959854230,287.46830321588900
1916,287.58163991472100,287.56265635717400,287.51628132598500,287.4010435752410,287.57104538147500,287.46359599266300,287.41710484315200,287.49855906732200,287.39898196078400,287.50380073819900
1917,287.63093414645900,287.52063463560000,287.50997670317200,287.43323331449900,287.5705777544040,287.51160708261700,287.4233081697170,287.48765298194000,287.43042934841100,287.44964897205400
1918,287.61197719267100,287.55911728664600,287.49573947324500,287.39519049421600,287.60504110504600,287.50253581902100,287.420984700438,287.48328742280400,287.45333884970800,287.47091432030500
1919,287.63413809159100,287.60046804032700,287.48323564330100,287.39915436756900,287.635986136702,287.45448518150300,287.45097070533200,287.4154156828730,287.47085080500600,287.45082810064800
1920,287.62618117508700,287.58391577823600,287.44102091592400,287.50116869427000,287.58681606237400,287.49070822917700,287.40794155623100,287.408515466371,287.45716834338700,287.43652237709600
1921,287.59353344073300,287.58458931080500,287.43316800870900,287.37418294048700,287.61260446324100,287.42188308593900,287.40047621956400,287.46775697148100,287.41943560106200,287.4989746583680
1922,287.62710298696500,287.59699317766400,287.43095104178200,287.42006763833600,287.62253630574800,287.42649085218400,287.40145616797500,287.42696891305500,287.43307558807600,287.50977961074500
1923,287.67406614226400,287.62360893456700,287.45317247928200,287.41054098993200,287.64179696733000,287.45496479289000,287.36948415975700,287.49836631490400,287.4914772824870,287.53580298388200
1924,287.6588860248620,287.59719788922900,287.46085065767100,287.43534784911700,287.62315336903200,287.45679469272600,287.40882929960600,287.44593889673400,287.45241407394300,287.46272363863100
1925,287.6499096790920,287.65805565091,287.54405795462300,287.41364430887700,287.64962484870800,287.43090227715000,287.39523599077100,287.45481998229000,287.44874419997200,287.49922736167700
1926,287.61870280154800,287.6561494197350,287.49956561607900,287.38230200979700,287.68162866328700,287.47489675763400,287.41252631217000,287.44162883316300,287.48019234629100,287.48931160364300
1927,287.6660791077650,287.61588369529000,287.45952921625000,287.39650179923100,287.65746024044500,287.36232140366100,287.45208863190400,287.46226586643200,287.40708869389600,287.47828991240600
1928,287.66526008000700,287.63392387375600,287.43405864385800,287.37744631879000,287.64686691116200,287.44921480319100,287.42641083324500,287.46157769908000,287.45410141310900,287.52139011267400
1929,287.63927057854700,287.65229014178000,287.44525330358300,287.41315155964800,287.7514567764590,287.4645788053750,287.42352105193900,287.41065039000400,287.42978798175700,287.48068997224100
1930,287.66812260031800,287.61559376105600,287.47078681807200,287.36803607880200,287.67225451859000,287.39892774747600,287.41592200099600,287.44238648555000,287.45164445577100,287.49633278422300
1931,287.66997403638800,287.63765127037200,287.41194197820900,287.39022038785600,287.67028964964300,287.43476849520600,287.44357379588900,287.45291227679000,287.45336433641100,287.44629065080800
1932,287.668401180449,287.64562671029800,287.396917323048,287.3449865686600,287.72841179597700,287.43106619856300,287.40357654918000,287.46172205448400,287.42578574096700,287.42686533273700
1933,287.65747429529200,287.63319717439000,287.47065547088200,287.36238636154200,287.75797915906400,287.47289520727300,287.4312632373030,287.46278562399900,287.44004081433200,287.43428412539000
1934,287.71289023411200,287.63583366434400,287.48193051741200,287.39229994929900,287.71888460903100,287.47379194918100,287.44213871376800,287.48116717633800,287.41487362677500,287.49236897610600
1935,287.67246980940600,287.6464157980550,287.49484078148100,287.35757198487700,287.70277734353500,287.41373984147400,287.39819254221400,287.45769329909300,287.45357797921400,287.45268181687600
1936,287.68941821968100,287.6533077724950,287.45561398928300,287.34668012124500,287.74573370087500,287.43294284580500,287.43056310432400,287.44314792863600,287.4794190601980,287.44130763500500
1937,287.7210243138760,287.67888276452700,287.48577019397500,287.34136091137200,287.73393895405400,287.38327261660900,287.46435874390100,287.48206067302000,287.47549776036500,287.46194052437100
1938,287.7444619497480,287.64355005076600,287.52076912367400,287.37636782746900,287.75826014305500,287.44218759581900,287.42888376685300,287.50294425685500,287.44724170922300,287.4479769327410
1939,287.7411034918150,287.62535267784400,287.51819561157600,287.37432198479300,287.72774031211400,287.48052441786500,287.42443489373400,287.45718726812800,287.43803658422500,287.44366599317800
1940,287.75181289881900,287.66071483982600,287.48163971225300,287.3679346324790,287.72024881564000,287.45470155577800,287.44860033043400,287.44143168434100,287.45984409855700,287.53400791169800
1941,287.81223199071800,287.71476615564700,287.48650081050400,287.34646928532500,287.76537141935300,287.42755039328000,287.45677702948100,287.48395354737700,287.44421658459800,287.4623586359490
1942,287.78586070750500,287.66332674226400,287.44085861464400,287.36271615008300,287.77081399245200,287.39149262520400,287.45710035598600,287.47122180958400,287.42762633617300,287.4432462273700
1943,287.76222255686000,287.60089840952300,287.45755186387700,287.36631958013100,287.79211440404400,287.43515570497600,287.4401840012400,287.49830654249800,287.46197499587100,287.49557343551900
1944,287.72861584920100,287.63835145129700,287.52203222850900,287.34095369513600,287.77851109099800,287.40727910730200,287.41160201947500,287.51990336164000,287.43004763678900,287.46035421832200
1945,287.72861881673500,287.65848068242600,287.52067868794700,287.3461142859200,287.75462753149900,287.40394550059600,287.42198549366400,287.52229178708300,287.39662583484700,287.45056508693400
1946,287.69965821313000,287.72952509935000,287.52902303322400,287.34725579981400,287.80338358333400,287.41238304139300,287.40049946890000,287.50180545583800,287.42004562234400,287.44182533639400
1947,287.72081623996600,287.72958710808700,287.54992533570500,287.36589138934600,287.86263092212200,287.43970173208300,287.37090997865900,287.5114680987100,287.46139312907000,287.45761353859900
1948,287.73875717142500,287.68788866849900,287.51935729618600,287.3230676288960,287.79652311751600,287.39802903286100,287.41405212826400,287.47767547491500,287.43869042721700,287.47517330524500
1949,287.71952879830600,287.64741529889500,287.54400953516400,287.30981479578300,287.81147791469700,287.38551941061800,287.45818252162700,287.52520170624400,287.46830358820400,287.49881150827100
1950,287.72246401534700,287.68629865682200,287.54563491754000,287.31361581599700,287.77263239074400,287.39237002577500,287.4146150697780,287.49665359311600,287.5039011674170,287.52455769845600
1951,287.68493882818300,287.68654208486400,287.52464801380700,287.30088565024900,287.75223929854600,287.39846140417200,287.38908617403100,287.47116489684500,287.44856370121900,287.48101694989500
1952,287.66580512327100,287.68110477342700,287.47321551937700,287.30760137137200,287.81277561549000,287.4316038275190,287.44898212782800,287.46556659207100,287.49714679427100,287.44855912115600
1953,287.6895385610790,287.6668190293600,287.48319932944200,287.29796994912800,287.78434609676900,287.39143166310500,287.44463516568900,287.50436300364000,287.48629575236800,287.50739334815600
1954,287.67211027150500,287.67161659454600,287.49689114581400,287.25326424236700,287.83257519682700,287.40174549281800,287.41446802527400,287.46322454106500,287.43701062821200,287.52295748803100
1955,287.72938414439700,287.64348567518200,287.47332464143100,287.28046313213000,287.77711501294100,287.39076928935900,287.40792248865100,287.46596353272500,287.46556347306500,287.49176930162100
1956,287.7138069148140,287.61881062522300,287.53098238789600,287.25978723639800,287.78325128632800,287.34445777475000,287.41236229288300,287.49799467122500,287.55787321858700,287.51092029718400
1957,287.74287435250200,287.6303622601250,287.51726327926600,287.25920239934200,287.85951978946400,287.39382024741600,287.42705297483800,287.53439709125600,287.54286331300400,287.51795686556400
1958,287.78776688803300,287.65788645440200,287.50710957533700,287.24878586232400,287.84139211756200,287.3907435059230,287.42352852618400,287.52737781255100,287.49268688445100,287.55468686283000
1959,287.77693990928800,287.68035354881600,287.50397395078700,287.24737280968100,287.82087606194700,287.42227857639200,287.3831336495720,287.50622186365900,287.47635364319200,287.54817675328400
1960,287.73083181993000,287.69306010064800,287.54759737817600,287.24747732329700,287.89525461668800,287.40194265929600,287.43123189406800,287.49829773577400,287.45674068886900,287.4953056640540
1961,287.7961332614090,287.73654611118900,287.52815067598600,287.25319639194800,287.87540700926900,287.39654161018300,287.42104635970700,287.52417406186200,287.50496121345700,287.42334900013200
1962,287.79959114696400,287.68657810322700,287.51533721757600,287.26313886442400,287.91152057285800,287.37653750703100,287.41367340423600,287.5154749342710,287.50543337061700,287.42893940999600
1963,287.73257355066000,287.71680999845700,287.46899649808800,287.25335241008800,287.91144045565700,287.37478340774000,287.45386147128300,287.4756183728810,287.51289342552200,287.35769962685700
1964,287.54806183733300,287.72232400004200,287.27660592928600,287.23401269595700,287.93455188433100,287.38586971707100,287.47983119415900,287.48567191570100,287.47001198998600,287.25992753872700
1965,287.5616570760090,287.75539568695500,287.29956282918200,287.22376953173,287.88075949258000,287.32771005959500,287.46234030860400,287.51035214685600,287.47053371583800,287.2704710331050
1966,287.62497763423700,287.70199821744400,287.36607315463200,287.22663867335700,287.89078757230200,287.33378286448700,287.47350664107000,287.50134290649600,287.47562360571500,287.2681478736860
1967,287.67303533514500,287.7035488733860,287.43171858185800,287.21554075332400,287.92808589680900,287.35235573992100,287.4817509377520,287.51387679766900,287.45064580022500,287.33312415969300
1968,287.71846361730100,287.7545543505190,287.40974323276000,287.22013027926200,287.9749803785850,287.36656382769400,287.4385121332310,287.54473548278100,287.49947716119200,287.35498875081900
1969,287.70796208753100,287.81987222892500,287.41901454896400,287.23699526753600,288.02285801604900,287.36565667175700,287.414485112222,287.51801084161300,287.48100770035100,287.36162773004200
1970,287.75748178968200,287.8019093067610,287.41725657523200,287.21593820585500,288.026800556377,287.34972484997400,287.41991457802400,287.48656814422800,287.47259055869300,287.34841372105800
1971,287.79311137654100,287.83851531698500,287.42773138727600,287.22257945070200,288.08935873969100,287.33192480619300,287.45105987960500,287.5185431262200,287.47007349813000,287.45654336928300
1972,287.83457283967000,287.83395042178200,287.49211211367800,287.21094536822200,288.11412356980500,287.34503634320600,287.46697308196700,287.51537286026200,287.48279029423200,287.47070968255000
1973,287.85433203164700,287.8148919475520,287.49973485037200,287.18365769483300,288.09020203480100,287.32470846272200,287.43965820646800,287.52742936737000,287.4712301845080,287.4904850680430
1974,287.85666937039300,287.8401566516370,287.50271957095500,287.21289421297700,288.10088431595900,287.31734769993200,287.45466521693100,287.49573575953200,287.44701246458200,287.45881538311300
1975,287.8057443815690,287.83794357605700,287.44599776143700,287.17446400579300,288.0878628285070,287.3944070040120,287.48421129415700,287.48123653116800,287.45626675314100,287.4193588454130
1976,287.8570338039990,287.84962607238900,287.39319861360200,287.13581056952800,288.1317044700820,287.40395505157800,287.46639418675400,287.50715006158500,287.44099215867500,287.39175486240200
1977,287.91489379343600,287.88253286222600,287.4276215858700,287.17605581977000,288.13514963675000,287.33674127422400,287.44688933827900,287.51611113614400,287.49544479337200,287.47726240121400
1978,287.92089066877700,287.85927422463900,287.46135653615000,287.18455120320400,288.13720313555400,287.37348232518700,287.45458153041100,287.47115119067300,287.44224706460800,287.45622951449100
1979,287.9539145087270,287.89302513135900,287.48683823309000,287.09621940424900,288.1970056450040,287.38594695070700,287.47051537805400,287.50364695332700,287.44865152086000,287.4793446412220
1980,287.97975406879300,287.96180929546900,287.48383740626400,287.07845331768200,288.15885493825500,287.34223425143200,287.43767866590200,287.5663609584780,287.46027812505500,287.47497763521700
1981,288.03741136595800,287.92500516364800,287.53219855220800,287.04031644661500,288.19938645929300,287.37554288118200,287.4771139135440,287.52970992734000,287.46075378816200,287.44332303451100
1982,287.91378087603800,287.90285680829100,287.39845407176300,287.10611212599300,288.22148714012300,287.36035236286500,287.53175474008300,287.5773596739650,287.45103409678500,287.37570161296900
1983,287.76044898171900,288.0055374956100,287.15031036785900,287.10358158860300,288.22779148761500,287.30867801192000,287.51692033763400,287.56653962715100,287.4779474758590,287.16725632908500
1984,287.85285290732700,288.00398933137600,287.25974104199400,287.04221399132100,288.22759942023400,287.27837935768300,287.49358992846500,287.53537650600200,287.49976832775000,287.23669148146400
1985,287.9259615718870,288.01790843261300,287.35297993821000,287.08110429990900,288.27431063096200,287.30630446610500,287.51393268957700,287.54672938262600,287.49540205990400,287.34191304612700
1986,287.94786640933200,287.99386944900300,287.35115488871600,287.05407305905000,288.28644206750900,287.3429855440110,287.4923484694570,287.5215539139170,287.45972003052900,287.40373867022900
1987,288.01545710087400,288.02521812986600,287.436340831839,287.0485672637880,288.28100818680000,287.31077621032100,287.46361933997900,287.52757272011900,287.48765885667000,287.41329830314900
1988,288.03894102082100,288.08081017944800,287.45117440188000,287.03678467678600,288.36421188683500,287.37446291837800,287.41205900285200,287.56320101083200,287.50258193968600,287.43399338612200
1989,288.06699523281700,288.05282445902300,287.46628090621700,287.04013343178800,288.33253471610600,287.3807976683850,287.4268093898850,287.51882912906000,287.47223252683900,287.45132840667400
1990,288.12226976030500,288.09172481029800,287.48384036883500,287.08000200197200,288.36780597598200,287.35659071677100,287.45939969320700,287.5191250193320,287.46638587187100,287.50264024772000
1991,288.0769098677000,288.09474023067400,287.39028921825200,287.0445867208460,288.35091825404500,287.35127183473900,287.39747750085100,287.54272845448600,287.44213402728200,287.40470111580000
1992,287.79157525567100,288.08903137172000,287.07861966292300,287.06189750571400,288.40284839487700,287.38986649921400,287.47102738419600,287.57332067270900,287.48750365233000,287.09228095263900
1993,287.86287755409300,288.09141018630300,287.17478699027100,287.02097594306900,288.43121419058900,287.35914191783000,287.46903416205600,287.56081266510200,287.48604616998200,287.16436611645200
1994,287.95784324429100,288.08293513943500,287.27852321903500,287.00511303763900,288.46304374936100,287.34593193861700,287.41139920872900,287.5768596338780,287.46410635372700,287.27660160475100
1995,288.08539948210300,288.1275674813480,287.38930969569500,287.04597029511700,288.45761717731100,287.34634441155100,287.43090022072600,287.57079083964400,287.46723396174600,287.39238266644900
1996,288.1046463618260,288.14281079384000,287.42437583130000,287.01426867304300,288.43762877118600,287.36159759431700,287.49736163975200,287.59476495471600,287.50753089575600,287.47158747425400
1997,288.13788159771000,288.15233264933800,287.46598203908300,287.0244169147890,288.47113172757800,287.3397591779820,287.38272855283600,287.51971926170500,287.44874932312800,287.49335632595700
1998,288.23096819878000,288.19200682002200,287.46701242892200,287.01472987833300,288.47902631065600,287.31843238403600,287.37316011427100,287.53050122432500,287.49226259831500,287.52805573481900
1999,288.26882813730200,288.20612966148600,287.51573081439400,287.038314324015,288.46866192910900,287.30401342080900,287.43021996653700,287.54923247131800,287.50287160685200,287.52322084892300
2000,288.3089779983580,288.18326385787500,287.51696313576300,287.02329336914900,288.50979354863500,287.3329341107970,287.4377206873010,287.50614000427200,287.47114820787800,287.49762852635200
2001,288.32092890543300,288.18423874448500,287.52661356625100,286.96875413421700,288.55234197563900,287.32366594266400,287.38957644034300,287.5182456386800,287.4725208500430,287.49917502745300
2002,288.33525387515100,288.21867306790000,287.54537428499800,287.02269595662800,288.59475897524000,287.36185066745800,287.39983403685000,287.54554166167600,287.47714165849700,287.50443372892900
2003,288.34828533687100,288.25976767576200,287.53422936972900,287.03354771048000,288.59502593337000,287.34598963250800,287.46069819213400,287.50362829203800,287.4799193461480,287.5152206050910
2004,288.38287909582400,288.26947917515200,287.55976769519100,287.02087160857500,288.6154458262930,287.32062874073500,287.4196393782670,287.50038991752600,287.49138121202200,287.53400571061000
2005,288.36375674874900,288.3035028462930,287.604924918677,287.0003263445480,288.65202802762700,287.34265310928900,287.38336917912000,287.53790149718200,287.45315707300600,287.53774435793300
